label,tweet
0,Tume kenta acha?
1, Ee maghia kuade jauchu
0,Mor sange katha laga
1, Mo banda naa 
0,Mate Badhya karani
1,ehi charbi soshaka ku dhara
1,Bangladesh re hindu manakar ra stana nahi
0,Karada Heichhe
1,Jama chodi hani
1,Maghia gandi mara
1,Jie jaha kahuchi mora dho
1,Toh gandi ku thenga re pitile kemiti lagiba
0,Ame tamku mane pakabu
0,sou aau soibaku de
1,khali ta maada abhaba 
1,aita tama dosha nuhe tama bayasa dosha
1,banda chodi ha ni
1,besi muha chaluchi tora
1,bahapia maari labha nai
1,thia thia seki debi
1,gote baah hathiya kana mulia debi
1,to muha ku nia
1,jogoni khia
1,sala harami
1,jama ranga dekha na
0,Mu bhari marmahata
0,kana kala se
1,phone re pasiki pitibi je chinichu mate kie
1,Tume jaha sabu karucha se sabu sasta ganja ra prabhaba
0,tanki kia chaula dia kire
1,gihal po
1,Sandha mala mala gaai durbala
1,Eh naali amba
0,Bhai jamei dela pura bobal
1,chodi pua
1,Rangeela toka
1,tu gote bedha chua
0,abhadra loka ta
0,Market ghanti dela pura tame au
0,Khela karucha au
1,bala katha gudaka kahuchu
1,ta maa ku nida 
1,nani kuade hata ku
1,Tu sala nimakharam
1,Tu manisa jati re kalanka
1,Tora banchiki labha nahi
0,Tu hin eka matra saha bharasa
1,Kakara hei gali
1,kn kala se
1,maar debi sala ku
1`,Pasiki maribe
1,Mu kana toh chakara
1,Bala ta kahuchu
1,Toh haliaa ki mu
0,Tame bi na dusta
0,Tu mada khaaibu
1,Tate badeibi
1,Sala godhi bhali dekha jauchu
1,Gunthuni haathi pari laguchu
1,bala na
1,Tu pagala ta kire 
1,Chintei ta tu kire
1,Ja gandi mara
1,Galu hauchi kire
1,Chodi modi haani
1,Thia goitha drrkar 
1,Chal maghhia chodi haani
1,            Kana mula zabda maribi 
1,Tu ghua khaaibu
1,  Andira toka
1,Randiapala karanii
1,chanda munda heigaluni
1,Mandu
1,chhatara toka kire
1,Toka toki rampa rampi hauchnti
1,Tu kn mundi ta kire
1,pela
1,Madhurii
1,Abe banda na
1,Bahut garam laguchi mg
0,"He bhagwaan ki katha kahucha eh sabu, Lajya Lajya!"
0,Eh toka bhut agaku jiba
1,Tu gote gaba gandu ta
1,Oukaat re asigala… bajei dianti
1,nagei dianti j sabu kahibu
0,Dhana tame padhidaucha au
0,Bhai au gote…thodi na…
1,Banda ku roast kruchu kete no bedha chua ki tame
1,Mahuli ra kamal
0,Bhagawan nku dara re
1,Bedhei maikina
1,Gobara ganesha
1,Toh bansha buniati re kie patha padhithila
1,Sabuthire chodi haba kn nihati jarruri
1,Bajat stree loka
1,Kasa dekha jauchi
1,Banda Pela
1,Boungiyaaa
1,Bhai kiya bhasa 
0,phn re pasiki pitibi je c
1,saasta ganjaa ra prabhaba
1,tanki kia chaula dia kire
0,gihal po
1,Sandha malla malla gaaii durbala
1,Eh naali ambaa
1,Bhai jamei dela pura bobal
0,chodi pua ta kire
1,Rashikia ta pura au
0,tu gote beddhha chuaa
1,abhadra manisha taa
1,Market ghanti dela toka ta au
0,full bobal
0,chodi katha gudaka kahuchu
1,ta bapa ku nida 
1,bhauni kuade hata kuu
1,Tu sala nimak haram
1,Tu manisha jattii ree kalanka
1,chodi hela bali kama kreni
1,Kuade jaihauni
0,Kuade jaucha ki
0, Boring laguchi
0,Chodi hela bhali kama karani
1,Maribu tu ete khauchu
1,Au kichi din re fatibu tu 
1,Tora sesha dina asigalani
0,Sabu bae pua chhaka re bheta
1, Mankada hata re sala grama
1,sentera banda sala
1,Chodipua baharaku ase to gandi maribi
1,Baharuku ase goitha khaaibu 
1,Bilkul ranga dekha nahi
1,Bhut sundar disucha
0,kanaa kalaa se
1,phn re pasiki pitibi j janichu mu kie
1,Tame jaha sabu karucha se sabu sasta ganja ra asar
0,Tanki kia chaula dia eh pila ku
1,Gihal pio
0,Sabu ta tame janicha au
1,Eh naali ambaa
1,Bhai jamei dela pura boballl
1,chodi puaaa kire
1,Rangeela toka au
1,Tu gote bedhaa pila
1,Haramii loka ta
0,Market ghanti dela pura tame auu
1,Khela karucha auu
1,Bala katha gudaaka kahuchu
1,Ta chua ku nida 
1,Naniii kuade hata ku
1,Tu sala nimakhharamm
1,Tu manisa jati re kalankaa
1,Tora banchiki kichi labha nahiii
0,Thakura hin eka matra saha bharasa
0,Kakara hei galiii re
0,kn kala se pura bobal
0,ghanti dela tame au
1,Pasiki maribiii hela
1,Mu kana toh chakaraa
1,Bala ta kahuchuu
1,Toh haliaa ki mu be
0,Tame bi na dusta kouthi kara
0,Tu mada khaaibu mo thu
1,Tate badeibii
1,Pura jalucha tame au
0,Bahat sundar dekha jaucha
0,Ame tamku mane pakeibu
0,Nijara dhyana rakhiba
1,Ei charbi soshaka ku dharaa
1,Bangladesh re Hindu jati ra sthana nahiii
1,Ee mgh kuade jauchu
1,Bilkul chodi hani
1,Mgh gandii mara toka
1,Jie jaha kala mora dho
1,Toh gndii ku thenga re pitile kemiti lagiiba
1,mo balaa naa 
0,Kumbhakarna pari souchi se 
0,khali ta goithaa ra abhabh
1,Eita tama dosa nuhe tama bayasha dosa
1,banda chodi ha nahi
0,Besi muha chaluchi tora
1,bahapia maari labha nai
1,thia thia seki debi
1,gote baah hathiya kana mulia debi
1,to muha ku nia
1,jogoni khia
1,sala harami
1,jama ranga dekha na
1,Bazzari jhia tu
1,Bazari toka ta tu au
1,Bazzat maikina ta
1,Haramzadi toki 
0,Nijara jatna rakhiba
0,Tumhara dhayan se rakhibe bhala se
0,Tu kuade palauchu majhire majhire
0,Jhakas toka ta
0,jhakas toki ta se
1,Eh mg moh katha sunu
1,Eh mg kuade jauchu
1,Eh joganikhia toka kuade chalilu
0,Namaskara! Apanaku swagata
0,Namaskara
0,Kete bakbak kruchu
0,Batakaa pari chaluchi
0,besii muhha chaluchi toraa
1,bahapia maari labha nahi
1,Thiaa thiaa seki debi
1,Gote bajeibi kana mulia debi
1,Toh muha ku niaa
1,Jogoni khiaa
1,Saala haramii
1,Jama rangaa dekha na
0,Mu bharii marmahataa
0,Eita bhut badhia
1,phone re pasiki pitibi je chinichu mate kie
1,Tume jaha sabu karucha se sabu sasta ganja ra prabhaba
0,tanki kia chaula dia kire
1,gihal po
1,Sandha mala mala gaai durbala
1,Eh naali amba
0,Bhai jamei dela pura bobal
1,chodi pua
1,Rangeela tokaa
1,Tu gote bedha chuaa
0,Eita bahut badhiyaaa
0, Sundara chhabi
0,Bahuta bhala lagila
0,Adha re nijara pratibha
0,Adha re nijara pratibha
0,Adbhuta
0,Apana khuba bhala likhichanti
0,Apana mane khusi taa
0,Mausi lo mu bhi jani nai 
0,Mausi ghara bhada daba ki 
0,Agei chala bhai
0,Aji kali chua bhari dusta
0,Au ebe sei juga nahi
1,Bala katha kahani mo agare
1,Chhodi ethiki ase
1,Janu tume jaluchha ma
1,Chakhma chur
0,E a puni kou hero
0,Kana disuchha ma
0,Nua hero ta ki re
1,Pura one piece
1,Kana deha bhal nahi ki
0,Eelo mo bou
0,Mu Mari Jai lo
0,Pura gotia chaula re gadha
0,Tume emiti disilani na ebe
1,Sasta ganjaa ra prabhabaa
0,tanki kia chaula dia kire
1,gihal po
1,Sandha malla malla gaaii durbala
1,Eh naali ambaa
1,Bhai jamei dela pura bobal
1,chodi pua ta kire
1,Rashikia ta pura au
1,Tu gote beddhha chuaa
1,Abhadraa manisha taa kire
0,Market ghanti dela toka ta au
0,full bobal
1,chodi katha gudaka kahuchu
1,ta bapa ku nida 
0,Dhanyabad apana emiti sahajya kale
1,Gaan ru asichu na kn
1,Kama dhama nahi ki tora
0,Tu bada bahapia ta
0,Pabana marena jama
0,pabana marila pari katha barta karena
0,Kangala ta kire
0,Eh toh ghra kuade
1,Futani marena
0,Tike katheija
1,Akala kusmanda
0,Eh tora ghara kuade
0,Kangala kouthikara
0,Toh dwara khada sijibani
0,Tike sambhaliki chala
1,Ja ja gaalu marena
1,Tu mane mane nijaku mundi ta bhabuchu ki
1,Alajya podamunhi ta kire
0,Pawana marena jamaru
0,pabana marila pari katha barta karuchu
0,Kangala ta kire
0,Eh toh ghra kuade
1,Futani marena
,Tike katheija
1,Akala kusmanda
0,Eh tora ghara kuade
0,Kangala kouthikara
1,pura maal disucha
1,maal te hoichu be
,to aga ta vala disuchi
1,besi gandi marena
1,pellei pua ta 
1, to pacha pate baunsa purei debi
1,tamar kn disuchi
0,mate syamali pasanda
1,to patire purei debi
0,to pela pathei debi
1,to kana re banda mara hoichi
1,nali chadi pindhei ki maribi
1,tama isane karibi je sata purusa ku paiba
1,Ghodagehi ta 
1,kete bada phala heichi be
0,maja asigala
0,garam bahuta
1,bariade asunu tike haba
1,chipiki oholeidebi
1, to maipa ku nebi
1,Aa balad Mote Bindhi
1,Aa ma tike gehindebi
1,Aaa pelaku Halana
0,Aaji Ratire free achha
0,Aau kete Samaya Karibu
0,Aau Kia kia Accha
1,Abhaba ru swabhaba Nasta
0,ada bepari ra jahaj mula
0,ae ghar mausi sei ghar piusi
1,Aji tora nistar nahin
0,Akash Kaian Chilika Machha
0,Akhi Lagigala
0,akhi re luha nahi kanduchu kaha paen
0,Akhi ru Luha Baharigala
1,Amiti Badeibi je silei karibaku Suta Milibani
0,andha desh gali darpana biki
0,Anti chhuri Tanti Kate
1,Apurba sundar 
1,Asuna Gihan gehin heba
1,Ati Banda Haleile Mota
0,Auu kan Bhala ta
1,Auu tike Jorse gihan
1,avadra kouthikara
1,badi pada ta kire
1,Bahe Khaibu
1,Bahipua To bandare chunchi Pureidebi
1,bala acchi je sunpampodi khaibu
1,bala bepar kareni
1,bala ku besi chodi hana
1,bamfa nebu lo
1,banda muhi chahin
1,banda ru chhatiaa kadi debi
1,Bapa khae tala pua mundare nahi bala
1,Bara Buli bedhei
1,Barabula Chhatara
1,Barabuli Chhatari
1,Bazari chua
1,Bazat maikina
1,bedha jhia to biare Hati banda pasu
1,Bela Phatijiba
1,Bepari chua
1,Bhitare Kan Pindhicha
1,bhokalia
1,bhuta chua
1,Bia Khaibu
1,Bia re Biribati Chasa karibi
0,Chaha Tike maridia
1,Chhena Pila ta
1,Chilkina Chhora
1,chokar chua
0,Chup Chap Asa
0,Chup Chap Bas
1,Chupudidebi
0,dahara ta
1,Dauan Tike Rasa Piebi 
1,Daunu tike kain ranga dekhauchu
0,dekha sundar boula gaiee
0,dekhibu aele 
0,Denga Mundare Thenga
0,Dhanua gaba
0,dine nahi kale nahi gamha puniee dina manie nahi
0,Dokan khola Achhi
0,Durbala ru peli hauchu
1,E Nauna Tikia 
1,Ei Biare tike hata maridia
1,Ei Mu aau Gehin Paruni
1,Ei tama Biare  kan Bala Nahin
1,Ei tate Genhibi
1,ei tike nadia tela deiki gehuna
1,Eithi Gehinbi Seithi Chhua Heba
1,Emiti Gehinbi Nahi Munda Re Bajiba
1,Endua Jai Jai sijubuda Mulaku
1,Ete Bia ku Rati nahi
1,Ethar sambhala
1,Etili bali etili bali dekha dekha tora 1 ta itili
1,Etili upare Golamaricha
0,Gai gai mala mala sandha durbala
1,Gala chipidele Dudha Bahariba
1,Galila Gala Gala
1,Galu Maribi
1,gandi  re tela marikik rakhita
1,Gandi ru Nala Chhadini
1,gariba maipo saburi saali
1,Gehinki petere karidebi
1,Gendha Goda Ta
1,genhi genhi pura phatei dela
1,Ghasi debi
0,Ghoda Chha tanka ku Dana Na Tanka
1,Ghoda Dimba Ta
1,ghoda genhi ta
1,ghusuri muhaa
1,gote debi je dhale piebu
0,gote jabuda debi
1,gote rati ku kete nebu
0,Haba haba sabu haba
1,Hadabai ta kire
0,Hajila Balada Khojila Thei
0,Hand wash re pani misa
1,Harami nka sardar
0,hele heba
1,Jaha muhanre kapada ta ra bhari laphda
1,Jete gori sete story
0,Jira ru Sira
0,Jodi ta pura Jamiba
0,Kacha Kanchan
1,Kadali ta na
1,kaen danta chodhu chu
0,Kahili kala Nahin
1,Kain Danta Chhoduchu
0,Kala aagare Mula Chobeiba
1,Kala ta kala koili kala
1,Kan aaji bhari jalucha
1,Kan aaji to Gandi Phatichi
1,kan di ta khaideuna
1,Kan je ete jorse chipucha
1,kan Je tame khali Ratire gehuncha
1,Kan tamara Uthuni
0,kan tike kuha
0,kanare tela paka
1,Kanshari Ghara Para Ku kula Dhaun Dhaun
1,kasi Mal ta
0,Kau to bou ku neu
0,kede bada Gata
1,Kede Nali
1,kede nali
1,kete bada bedha pila ta kire
1,Kete Gandimarauchu ethi
1,Kete gihan Khaibu bedha
1,Kete haleibi
1,kete haliebu au
1,Kete haluchu
0,kete Khauchu
1,kete rampuchu
1,Kete saleiheuchu
0,khaiba khaiba boli swarbas khaideba
0,Khaile kha na hehele nahin
1,Khali kana kana
1,Khali ta kana kana
1,Khira Piebi
1,Ki Bia heichi be khali Chatibaku ichha hauchi
1,Ki gihan gehila ma
1,KI gihan Gehuncha je mo peta pida heigalani
0,kichi dishuni
0,Kima Karidebi
1,kn madam ratire souna ki
1,kukura muhaa
1,kumbhira kanda
1,kunta chua
1,madarchut
0,Madi Chala
0,Magili dela nahin
0,Mana mugdha heigala
1,Mandu bina Banda Halauchi
1,Mariki To naka Dandi Phateidebi
0,Masari bhitare masa
0,Mausa Bhala achha
0,mo munda kharp karani
1,Mora aaji gehinbaku ichha hauchi
0,Mora kichi hauni
0,moro gote acchi
0,Mu aau sambhali Paruni
1,Mu badnam gali ra jhia
0,Mu na thila ta kichi habani
1,Muahn kala kouthi karichu
1,mula ru maipo nahi pua na gopaliaa
0,Munda Phateidebi
0,Munda tina heigalani
0,na dekhila lok dekha kaniecha Kadhichi beka
0,na dekhile jhuru thae dekhile katha na hue
0,Na tora Makhamalli
0,naie na dekhunu nagala
1,Nali pani tike padichi
1,Nani Kuade
1,Nani pua besi chhodi hauchu
1,nani tama jhula ku dekhi Babula kanduchi
1,Ne ma tike piedebu
0,Ohh kan emiti haucha
0,Ok na 
0,Ota Muhan re jira
1,Pagalchoda
1,Paisa nebu hade hade gandi dekheibu iade siade
0,Paisa nebu hade hade Kama kariba iade siade
1,Panda de Anda
0,pati band kar
1,pela pua to gandi phateibi
1,pellei pila ku mari debi
1,poda muha
1,Poda Muhan Marunu
1,pola Bia
1,Prema karibaku kala kala hauchu
0,Pura  bobal
1,Rahija Basanti
0,Rahija Raghua Khailki Jibu
1,Randa Ku Banda Dareibani
1,Randi kete Gihan khaibaku Hachi
1,Randi pua Ananta
1,Randi sei ghaita kariba Buli buli nahat sariba
1,Randi tora kete ta ghaita
1,randipilathi goda pureidebi
1,Rasa Jharipaduchi
1,Sadhe badmas
0,Saguna Rampidela  lo
1,Sala Chadita Bia ku Chapiki Rakhichi
1,sala galua ta
1,sala kede kebe lau be
1,Sala Mentalia
1,Sala Paisa Pain Bia Bikideba Randi
1,sala second hand Mal
1,Sali ra aaji Bia Chiridebi
1,Samudra se tate katiki phopadi debi
0,Sabu bhagwaan bharasa
1,Sandha pela aaniki khuai debi
0,Sansta Chalu
1,Sasta ru Nasta
1,Sindura Kahiba Ghaita Kahar
1,Sorisia Gaba
0,Subha Asubha
0,sudhiribani
0,Sundari jhia ku duru juhar
1,Tama Aga Pachha sabu samana
1,Tama Hatare Jadu Achhi
0,Tama sparsa re mu mohita Heigali
0,Tamar Bayasa Helani Karibaku
1,                                                                     Tamara kama heijaichi
0,tamara kan chirijaichi
1,Tamara Sabu Khaibi
0,Tamar sabu Thik achhi
1,tamara kete ta kana
1,Tame kala
1,Tana tana kari parikshyan heba
1,Tanti chipi Rakta Piejibi
1,tate genhi genhi phatie debi
0,tate kachi debi
1,tate landa kari dandare buleibi
1,tate pangu karidebi
1,Telia mundare Tela
1,Tike Andhariku aasa pelibi
1,Tike deba ki
1,tike gharsan heba
1,Tike jorse peluna
1,Tike nala Ansha achhi
1,Tma bhugala bhari sundara
1,To  Nani ku Ghinya
1,to baloon ku chipiki fhatie debi
1,to banda kana re lanka purie debi
1,to banda ku karata re kati debi
1,to banda re kete pani be
1,To Bapa Bia Maghia
1,To bia re A
1,To Bia re Bhanga Banda Pureidebi
1,To bia re Birja chhadidebi
1,To bia re chhepa lagei ki pureibi
1,To Bia re kete pani
1,To bia ru bala katidebi
1,To Bia ru Pani Bahar Karidebi
1,To bia thu otha ta besi nali
1,To Biya ku Phateidebi
1,to biya re kana puriki sul sul kariedebi
1,To bou Biya maghiya
1,to bou biya re handi puriedebi
1,To dudha ku dhuin debu
1,To enginee kan kama karuni
1,To gandi Bhitare RDX pureidebi
1,to jungle katidebi
1,To kadali ku katidebi
1,to maa ku gehibi
1,to maaipo biya re cocacola puriedebi
1,To maipa bhanda ku chipiki phateidebi
1,to maipo biya ku churi re katidebi
1,To muhan re kukur mutu
1,To Muhan ta makanka gandi bhali heichi
0,To munda kharap heijaichi
1,To Rakta Piejibi
1,To seal Phatiba Ajji
1,To senti Oda Karidebi
1,To senti phatei debi
1,Toka ta chhaka nka bhali Hauchu
1,Toki eke bele tinita Banda ku biare pureideba
1,toki ku dekhi ki au rahi parunu
1,tora ate banka
1,Tora Besi galu uthuchi
1,Tora kain ete uthuchi
1,Tora kan Haluchi
1,Tora Kan Ohalipadichi
1,tora kede bada banda te be
0,Tora kichhi kama nahin
1,Tora Rate kete
1,Tora Size kete
0,tora ta prabal Dosa
0,vaina vala ta
1,Yete banka
1,Banda ku Chhodiheuchu
0,Pura  bobal
1,Mo Banda
1,Ajji  condom Deiki Gehinbi
1,aaji khata bhangiba
1,to bia re baanusa purie debi
1,Finally Aaji Bia Milichi
1,Tamar Banda kichhi Kama Nahin
1,Dina rati khali Gehinba boli haucha
0,Paga ta Bhala Achhi
1,to banda kn thiaa hauni
1,Banda thia hele gehibaku Bia miluni
1,Sala jadi Bia miluni kadali gachha re kan kariki puraunu
1,to banda kana re refil purie debi
0,tulasi dui patra ru base
1,bichuati kudhei hue
0,barafa thanda lage
0,phampa mathia ra sound besi
0,Dhira pani pathara kate
0,to bina anyagati nai
0,tu eka ama saha varasa
0,samaya hatare dori
0,kie kahra
0,tu mora
0,to bina mo kahani adha
0,kan basucha
1,kan gandhaucha
0,Nari nuhe tu narayani
0,Nari akhire nian
0,Andhara re badi bulauchu
0,mausa dia pausa
0,paisa neba gani
0,khusi heuchi safalata ra mula mantra
0,tame sabu pariba
1,kete kunduchu
0,Tunda baida sahasra kosa
0,Misu mora deha e desa matire
0,kara ba mara
0,Sahara jaluchi
0,Jahaku jete
0,Jesa ku Tesa
0,Mote rakta dia
0,Mote pani dia
1,Sie gein gein hauchi
0,Kukura languda banka
1,Kati pinda kuti khaa
1,Galua nka bara bati chasa
0,samaste khusire ruha
1,Udandi randi
1,vanga polua ku munda bula seula
0,Bahaghara bele baigana koda
0,Samaya chakare sansara ratha
0,Paida bada madhura
0,Durbala upare bojha
0,kete hasucha
0,Sir apana kete vala
0,tike kathei ja
0,Ghanti debi tate
0,Dala bajhuchi
0,Alapa bidya Vayankari
0,Rupa sagadi re suna kania
1,"Mali dhampa, athi ki asa"
0,Kau hauchi rau rau
0,Machha ku bachha
0,Sanja ase nai nai Q team ku nida mnai
0,Dasa pani re padile mase
0,Pani hela galia
1,Kotha ghara pila
0,Bifalata hin safalata ra mantra
0,Jibana ta gote seo
0,Gote pada swachata adaku
1,Vitare pasi gala
1,ta vitare kan pachila
0,Khapuri udi gala 
0,Munda purei debi
0,sekibi tate
1,Tora phula kuade gala
0,desa paine kama kara
0,Kaine lo to mana dhukha
1,Abhava ru savav nasata
1,tamara sabu sundara
0,phula anichi phula baniru
0,alaga tike vaba
0,Mora suchi darkar
0,Patire katha milauni
0,tama vabiba ta pura vula
1,Tampudi mundare unkuni
0,samaya bancha 
0,Rasta ra bama pate chala
0,Sabu chamkuthiba bastu suna nuha
0,Nirmala pani pie
0,mate  mitha pani vala lage
0,Jibana aka mulya bana ate
0,Hataru khai ghoda aga re deinba
0,Bada ghara bada gumar katha
0,Dura parbata sundara
0,tora chera hoi galani
